ZIP3,Lat,Lon
120,42.75112857,-73.92861229
121,42.69234195,-73.84015671
122,42.66180847,-73.76956911
123,42.78925236,-73.90415864
124,42.03563672,-74.11526836
125,41.69834209,-73.89105316
126,41.69560833,-73.9233869
127,41.65489609,-74.71532109
128,43.31938779,-73.67786374
129,44.58697813,-73.8274599
130,42.99775466,-76.20254689
131,43.06662667,-76.29617611
132,43.05455039,-76.14863619
133,43.12366951,-75.23849512
134,43.10408259,-75.33231194
135,43.10318462,-75.22635192
136,44.2923,-75.55557203
137,42.20430511,-75.71403139
138,42.31484412,-75.62288235
139,42.10401583,-75.90619784
140,42.83957564,-78.68910897
141,42.89635879,-78.77738187
142,42.90586967,-78.84116078
143,43.07818571,-79.01328036
144,43.01512782,-77.55959839
145,43.02661111,-77.4711828
146,43.15380025,-77.61061104
147,42.19690941,-78.9368995
148,42.29343289,-76.99774497
149,42.09806724,-76.79182759
150,40.48827386,-80.06192407
151,40.44208,-79.96457029
152,40.44167781,-79.98308384
153,40.12427185,-80.16128992
154,39.95365,-79.74857363
155,40.00922679,-78.83279464
156,40.33140295,-79.58745574
157,40.69903272,-79.0433963
158,41.23524105,-78.77409789
159,40.35897235,-78.87375176
160,40.87177742,-79.92391659
161,41.119136,-80.3581008
162,41.0390295,-79.41189353
163,41.56453208,-79.65535409
164,41.88696429,-79.99716071
165,42.11951227,-80.08246136
166,40.5086,-78.33891137
167,41.81944151,-78.55696981
168,40.89835472,-77.98498962
169,41.82211053,-77.30583789
170,40.3307,-76.94386764
171,40.26888145,-76.86055597
172,39.96023529,-77.73703309
173,39.91429771,-76.83668211
174,39.96253563,-76.721075
175,40.0787199,-76.24097704
176,40.04796608,-76.3200386
177,41.25440132,-77.08451711
178,40.91138511,-76.71143936
179,40.71563333,-76.21331714
180,40.62422628,-75.41782569
181,40.58665963,-75.48004667
182,40.91117327,-75.91078119
183,41.04724939,-75.24029085
184,41.53036893,-75.46419322
185,41.39919606,-75.68046897
186,41.30784775,-75.94537416
187,41.24694724,-75.88343681
188,41.81512832,-76.12135487
189,40.29460743,-75.13967883
190,40.04971981,-75.19010931
191,39.98244557,-75.15100769
193,39.97870243,-75.61172708
194,40.14909193,-75.36631969
195,40.37234731,-75.82671183
196,40.32961781,-75.9111668
197,39.67063322,-75.65360909
198,39.74372985,-75.56226797
199,38.88058095,-75.42778852
200,38.91072436,-77.03283497
201,38.90325843,-77.40995754
202,38.89208378,-77.01771081
203,38.90416415,-77.02031604
204,38.89758929,-77.02809643
205,38.9158876,-77.02618062
206,38.52837802,-76.80524593
207,38.96671509,-76.8871367
208,39.07738908,-77.13893504
209,39.0233881,-77.02748367
210,39.29973353,-76.6165766
211,39.31982141,-76.66981463
212,39.30355192,-76.62872847
